rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
620,B23/S014,False,1.113733,0.028469,0,16,0.803607,0.036202,0.082772,0.015085,0.127295,0.022731,606.25,54.38,True
624,B4/S014,False,0.025297,0.000280,0,16,0.023332,0.020504,0.000277,0.000196,0.377045,0.343497,2.12,1.44,False
626,B14/S014,False,0.933385,0.001951,0,16,0.949602,0.024871,0.319405,0.011562,0.354274,0.015922,3224.50,66.44,True
628,B24/S014,False,1.197020,0.023541,0,16,0.373250,0.075875,0.009762,0.003241,0.068820,0.017225,74.50,22.94,True
632,B34/S014,False,0.629524,0.022561,0,16,0.030433,0.014365,0.000323,0.000159,0.230298,0.124374,2.56,1.88,False
634,B134/S014,False,1.132997,0.001459,0,16,0.990536,0.010389,0.403270,0.010919,0.410996,0.010668,4037.88,69.19,True
636,B234/S014,False,0.936968,0.004699,0,16,0.843237,0.032788,0.227133,0.011873,0.319497,0.024111,2296.44,58.88,True
640,B/S24,False,1.167120,0.070817,0,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
642,B1/S24,False,1.270487,0.001001,0,16,0.993794,0.007671,0.384387,0.007953,0.389230,0.009919,3821.94,69.56,True
644,B2/S24,False,1.023760,0.047262,0,16,0.141543,0.071159,0.000790,0.000612,0.034746,0.022536,5.94,8.75,True
648,B3/S24,False,1.142048,0.066540,0,16,0.010144,0.028346,0.000098,0.000284,0.011980,0.032741,0.75,0.62,False
650,B13/S24,False,1.515080,0.000773,0,16,1.000000,0.000000,0.484688,0.005284,0.484688,0.005284,4816.06,70.00,True
652,B23/S24,False,1.127030,0.011997,0,16,0.885034,0.238543,0.236262,0.067486,0.265017,0.074685,2274.31,61.62,True
656,B4/S24,False,1.134378,0.022549,0,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
658,B14/S24,False,1.300859,0.000785,0,16,0.998986,0.004058,0.414445,0.009127,0.415266,0.008102,4147.25,69.94,True
660,B24/S24,False,1.181009,0.030965,0,16,0.163981,0.081451,0.000952,0.000634,0.032041,0.021134,6.62,10.25,True
664,B34/S24,False,1.109489,0.020457,0,16,0.004058,0.016231,0.000033,0.000130,0.006098,0.024390,0.25,0.25,False
